동물명(추정),파일명,최상위 폴더,상대 경로,파일명 날짜,실제 수정일,파일 크기,중복 상태
babydeer_shake,babydeer_shake.blend,normal,normal/baby_deer/blender/babydeer_shake.blend,,2021-08-31 17:49,4.2 MB,
babydeer_trot,babydeer_trot.blend,normal,normal/baby_deer/blender/babydeer_trot.blend,,2021-08-31 15:34,4.6 MB,
babydeer_walk,babydeer_walk.blend,normal,normal/baby_deer/blender/babydeer_walk.blend,,2021-08-31 15:34,4.5 MB,
babyfox,babyfox_animation_all2.blend,normal,normal/baby_fox/blender/babyfox_animation_all2.blend,,2022-03-03 15:41,7.9 MB,최신
babyfox,babyfox_animation_all.blend,normal,normal/baby_fox/blender/babyfox_animation_all.blend,,2021-10-26 15:49,6.5 MB,이전 버전
babyfox,babyfox_animation_all_009.blend,normal,normal/baby_fox/blender/babyfox_animation_all_009.blend,,2021-08-20 12:55,7.6 MB,이전 버전
babyfox_idle,babyfox_idle.blend,normal,normal/baby_fox/blender/babyfox_idle.blend,,2021-09-15 14:54,3.8 MB,
babyfox_jump,babyfox_jump.blend,normal,normal/baby_fox/blender/babyfox_jump.blend,,2021-09-15 12:32,3.8 MB,
babyfox_jump_down,babyfox_jump_down.blend,normal,normal/baby_fox/blender/babyfox_jump_down.blend,,2021-09-15 14:52,4.2 MB,
babyfox_jump_up,babyfox_jump_up.blend,normal,normal/baby_fox/blender/babyfox_jump_up.blend,,2021-09-15 12:52,4.3 MB,
babyfox_rig,babyfox_rig.blend,normal,normal/baby_fox/blender/babyfox_rig.blend,,2022-03-03 02:44,3.4 MB,최신
babyfox_rig,babyfox_rig_01.blend,normal,normal/baby_fox/blender/timeline/babyfox_rig_01.blend,,2022-03-02 16:08,3.4 MB,이전 버전
babyfox_rig,babyfox_rig_02.blend,normal,normal/baby_fox/blender/timeline/babyfox_rig_02.blend,,2022-03-02 16:08,3.4 MB,이전 버전
babyfox_run,babyfox_run.blend,normal,normal/baby_fox/blender/babyfox_run.blend,,2021-09-15 12:43,4.1 MB,
babyfox_sit,babyfox_sit.blend,normal,normal/baby_fox/blender/babyfox_sit.blend,,2021-09-15 14:56,3.8 MB,
babyfox_sleep,babyfox_sleep.blend,normal,normal/baby_fox/blender/babyfox_sleep.blend,,2021-09-15 14:59,3.8 MB,
babyfox_trot,babyfox_trot.blend,normal,normal/baby_fox/blender/babyfox_trot.blend,,2021-09-15 12:40,4.2 MB,
babyfox_walk,babyfox_walk.blend,normal,normal/baby_fox/blender/babyfox_walk.blend,,2021-09-15 12:33,3.8 MB,
babyorca,babyOrca_AllAni02.blend,sea,sea/orca/babyOrca_AllAni02.blend,,2022-08-30 16:27,1.8 MB,최신
babyorca,babyOrca_AllAni01.blend,sea,sea/orca/babyOrca_AllAni01.blend,,2022-08-26 15:58,1.7 MB,이전 버전
babyorca_idle,babyOrca_idle01.blend,sea,sea/orca/babyOrca_idle01.blend,,2022-08-26 12:37,1.4 MB,
babyorca_jump,babyOrca_jump01.blend,sea,sea/orca/babyOrca_jump01.blend,,2022-08-26 16:09,1.4 MB,
babyorca_swim,babyOrca_swim01.blend,sea,sea/orca/babyOrca_swim01.blend,,2022-08-17 16:59,1.3 MB,
babyorca_swimfast,babyOrca_swimfast01.blend,sea,sea/orca/babyOrca_swimfast01.blend,,2022-08-17 17:09,1.3 MB,
babyturtle,babyturtle_AllAni01.blend,sea,sea/babyturtle/babyturtle_AllAni01.blend,,2025-01-07 16:29,2.6 MB,최신
babyturtle,babyturtle_AllAni02.blend,sea,sea/babyturtle/babyturtle_AllAni02.blend,,2024-01-29 01:06,2.8 MB,이전 버전
babyturtle_display,babyturtle_display07.blend,sea,sea/babyturtle/babyturtle_display07.blend,,2022-09-07 18:09,5.0 MB,
babyturtle_idle,babyturtle_idle.blend,sea,sea/babyturtle/babyturtle_idle.blend,,2022-08-31 19:49,1.9 MB,
babyturtle_pose,babyturtle_pose01.blend,sea,sea/babyturtle/babyturtle_pose01.blend,,2022-08-18 19:57,3.0 MB,
babyturtle_run,babyturtle_run01.blend,sea,sea/babyturtle/babyturtle_run01.blend,,2022-09-02 17:18,2.0 MB,
babyturtle_sleep,babyturtle_sleep.blend,sea,sea/babyturtle/babyturtle_sleep.blend,,2022-08-31 19:49,1.8 MB,
babyturtle_stuck_idle,babyturtle_stuck_idle01.blend,sea,sea/babyturtle/babyturtle_stuck_idle01.blend,,2022-09-06 11:35,1.9 MB,
babyturtle_stuck_in,babyturtle_stuck_in03.blend,sea,sea/babyturtle/babyturtle_stuck_in03.blend,,2022-09-02 17:50,2.0 MB,
babyturtle_valentine,babyturtle_valentine.blend,2024,2024/2024_Valentine/아기거북이/babyturtle_valentine.blend,,2025-01-07 18:40,2.9 MB,
babyturtle_walk,babyturtle_walk01.blend,sea,sea/babyturtle/babyturtle_walk01.blend,,2022-09-02 17:17,2.0 MB,
bald_eagle,Bald_Eagle_animation1.blend,bird,bird/eagle/Bald_Eagle_animation1.blend,,2024-03-14 17:13,15.6 MB,최신
bald_eagle,Bald_Eagle_animation1.blend,normal,normal/bald_eagle/Bald_Eagle_animation1.blend,,2022-09-02 19:38,15.6 MB,이전 버전
bald_eagle,Bald_Eagle_animation.blend,normal,normal/bald_eagle/Bald_Eagle_animation.blend,,2021-11-22 19:57,12.3 MB,이전 버전
bald_eagle,Bald_Eagle.blend,normal,normal/bald_eagle/Bald_Eagle.blend,,2021-11-15 22:56,3.5 MB,이전 버전
bald_eagle_rig,Bald_Eagle_rig.blend,normal,normal/bald_eagle/Bald_Eagle_rig.blend,,2021-11-16 02:53,4.1 MB,
bald_eagle_rig2,Bald_Eagle_rig2.blend,normal,normal/bald_eagle/Bald_Eagle_rig2.blend,,2021-11-16 04:08,4.3 MB,
bald_eagle_rig3,Bald_Eagle_rig3.blend,normal,normal/bald_eagle/Bald_Eagle_rig3.blend,,2021-11-16 20:12,9.3 MB,
bat,Bat_animation.blend,bird,bird/bat/Bat_animation.blend,,2022-10-25 20:24,5.5 MB,최신
bat,Bat.blend,bird,bird/bat/Bat.blend,,2022-09-30 17:30,1.2 MB,이전 버전
bat_rig,Bat_rig.blend,bird,bird/bat/Bat_rig.blend,,2022-09-27 17:54,3.1 MB,
bear,bear_AllAni_statue.blend,2025,2025/2025_Event Pass/2025_9월 이벤트 패스/동물/곰 조각상/bear_AllAni_statue.blend,,2025-08-07 18:14,1.8 MB,최신
bear,bear_AllAni_250807.blend,2025,2025/2025_Event Pass/2025_9월 이벤트 패스/동물/말레이곰/bear_AllAni_250807.blend,2025-08-07,2025-08-07 16:53,6.3 MB,이전 버전
bear,bear_AllAni_statue.blend,2025,2025/2025_Event Pass/2025_9월 이벤트 패스/동물/곰 조각상/원화/정리/bear_AllAni_statue.blend,,2025-08-01 14:59,2.7 MB,이전 버전
bear,bear_AllAni_240311.blend,normal,normal/bear/blender/bear_AllAni_240311.blend,2024-03-11,2025-04-25 11:26,6.2 MB,이전 버전
bear,bear_AllAni_EX240311.blend,normal,normal/bear/blender/bear_AllAni_EX240311.blend,,2024-03-15 11:23,32.6 MB,이전 버전
bear,bear_animation4.blend,normal,normal/bear/blender/bear_animation4.blend,,2023-03-15 15:32,6.2 MB,이전 버전
bear,bear_animation3.blend,normal,normal/bear/blender/bear_animation3.blend,,2021-12-01 14:55,5.2 MB,이전 버전
bear,bear_animation2.blend,normal,normal/bear/blender/bear_animation2.blend,,2021-07-05 11:25,3.2 MB,이전 버전
bear,bear_animation.blend,normal,normal/bear/blender/bear_animation.blend,,2021-03-08 17:16,2.8 MB,이전 버전
bear,bear_ani_eat-end01.blend,normal,normal/bear/blender/bear_ani_eat-end01.blend,,2021-03-05 16:23,1.5 MB,이전 버전
bear,bear_ani_idle.blend,normal,normal/bear/blender/bear_ani_idle.blend,,2021-01-04 11:59,1.1 MB,이전 버전
bear,bear_ani_sit.blend,normal,normal/bear/blender/bear_ani_sit.blend,,2021-01-04 11:59,1.2 MB,이전 버전
bear,bear_ani_sleep.blend,normal,normal/bear/blender/bear_ani_sleep.blend,,2021-01-04 11:59,1.2 MB,이전 버전
bear,bear_ani_stand.blend,normal,normal/bear/blender/bear_ani_stand.blend,,2021-01-04 11:59,1.3 MB,이전 버전
bear,bear_ani_walk.blend,normal,normal/bear/blender/bear_ani_walk.blend,,2021-01-04 11:59,1.3 MB,이전 버전
bear_black_rig,bear_black_rig.blend,normal,normal/bear/old/blender/bear_black_rig.blend,,2020-11-17 17:23,1.0 MB,
bear_idle,bear_idle.blend,normal,normal/bear/old/blender/bear_idle.blend,,2020-11-06 18:17,1.2 MB,
bear_panda_rig,bear_panda_rig.blend,normal,normal/bear/old/blender/bear_panda_rig.blend,,2020-11-17 17:25,1.0 MB,
bear_pose,bear_Pose.blend,normal,normal/bear/blender/bear_Pose.blend,,2023-03-15 18:17,6.6 MB,
bear_rig,bear_rig02.blend,normal,normal/bear/old/blender/bear_rig02.blend,,2020-11-19 12:23,1.0 MB,최신
bear_rig,bear_rig.blend,normal,normal/bear/old/blender/bear_rig.blend,,2020-11-06 18:17,1.1 MB,이전 버전
bear_rig_black,bear_rig_black.blend,normal,normal/bear/blender/bear_rig_black.blend,,2021-01-04 11:59,1.0 MB,
bear_rig_brown,bear_rig_brown.blend,normal,normal/bear/blender/bear_rig_brown.blend,,2021-01-04 11:59,1.0 MB,
bear_rig_panda,bear_rig_panda.blend,normal,normal/bear/blender/bear_rig_panda.blend,,2021-01-04 11:59,1.0 MB,
bear_sit,bear_sit.blend,normal,normal/bear/old/blender/bear_sit.blend,,2020-11-06 18:17,1.3 MB,
bear_sleep,bear_sleep.blend,normal,normal/bear/old/blender/bear_sleep.blend,,2020-11-06 18:17,1.3 MB,
bear_stand,bear_stand.blend,normal,normal/bear/old/blender/bear_stand.blend,,2020-11-06 18:17,1.4 MB,
bear_walk,bear_walk.blend,normal,normal/bear/old/blender/bear_walk.blend,,2020-11-06 18:17,1.4 MB,
blossom_props,Blossom_Props_260210.blend,2026,2026/2026_Spring Pass/컨텐츠/벚꽃 프랍/Blossom_Props_260210.blend,2026-02-10,2026-02-10 16:07,1.1 MB,
blu_eye_crane_08(정리),blu_eye_Crane_08(정리).blend,2024,2024/2024_Winter/동물/3095_푸른 눈 가마우지/blu_eye_Crane_08(정리).blend,,2024-11-22 16:26,11.6 MB,
blue eyed shag,blue eyed shag_AllAni_241122_ex.blend,2024,2024/2024_Winter/동물/3095_푸른 눈 가마우지/blue eyed shag_AllAni_241122_ex.blend,2024-11-22,2024-11-25 16:48,12.2 MB,
blue_snake,blue_snake_ani_04.blend,2025,2025/2025_blue snake/blue_snake_ani_04.blend,,2025-01-16 17:46,4.5 MB,
boar,Boar_AllAni_260130.blend,2026,2026/2026_Spring Pass/컨텐츠/벚꽃멧돼지/Boar_AllAni_260130.blend,2026-01-30,2026-01-30 19:58,65.2 MB,최신
boar,Boar_animation2.blend,Sup_01,Sup_01/03_Boar/Boar_animation2.blend,,2023-05-11 17:47,74.5 MB,이전 버전
boar,Boar_animation.blend,Sup_01,Sup_01/03_Boar/Boar_animation.blend,,2023-03-23 17:17,74.6 MB,이전 버전
boar,Boar.blend,Sup_01,Sup_01/03_Boar/Boar.blend,,2023-01-30 15:30,42.0 MB,이전 버전
boar_modeling,Boar_Modeling.blend,Sup_01,Sup_01/03_Boar/Modeling/Boar_Modeling.blend,,2023-01-30 15:30,43.1 MB,
boar_rig,Boar_rig.blend,Sup_01,Sup_01/03_Boar/Boar_rig.blend,,2023-02-28 14:39,97.3 MB,
