동물명(추정),파일명,사용 상태,ARP 여부,리그 타입,ARP 마커,ARP 마커 수,동명 파일 수,폴더,경로,수정일,파일 크기
turtle_baby,Turtle_Baby_AllAni_250709.blend,사용중,X,리그 없음,,0,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_8월 이벤트 패스/동물/매부리 아기 바다거북/Turtle_Baby_AllAni_250709.blend,2025-07-24,3.0 MB
ui_portrait_duckling_egg,UI_Portrait_duckling_egg.blend,사용중,X,리그 없음,,0,1,2025,Asset/BlenderFile/2025/2025_Easter/동물/3107_부활절 아기오리/포트레이트/UI_Portrait_duckling_egg.blend,2025-03-13,4.4 MB
ui_portrait_weasel,UI_Portrait_Weasel.blend,사용중,X,리그 없음,,0,1,2025,Asset/BlenderFile/2025/2025_Winter/동물/눈꽃 족제비/포트레이트/UI_Portrait_Weasel.blend,2025-11-06,6.8 MB
weasel,Weasel_AllAni_EX251107.blend,사용중,X,리그 없음,,0,20,2025,Asset/BlenderFile/2025/2025_Winter/동물/눈꽃 족제비/Weasel_AllAni_EX251107.blend,2025-11-10,25.8 MB
미니섬,미니섬.blend,사용중,X,리그 없음,,0,1,2025,Asset/BlenderFile/2025/새로운 섬/아이콘/미니섬.blend,2025-09-10,1.1 MB
퍼즐,퍼즐.blend,사용중,X,리그 없음,,0,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_10월 이벤트 패스/퍼즐/퍼즐.blend,2025-10-28,1.0 MB
해변가돌,해변가돌_2(정리).blend,사용중,X,리그 없음,,0,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_침팬지 패스/해변가 돌/해변가돌_2(정리).blend,2025-05-29,1010.3 KB
blossom,Blossom_Props_260210.blend,사용중,X,리그 없음,,0,1,2026,Asset/BlenderFile/2026/2026_Spring Pass/컨텐츠/벚꽃 프랍/Blossom_Props_260210.blend,2026-02-10,1.1 MB
buoy,Buoy_260209.blend,사용중,X,리그 없음,,0,1,2026,Asset/BlenderFile/2026/2026_Snow Island Pass/컨텐츠/눈꽃상자부표/Buoy_260209.blend,2026-02-09,987.6 KB
coin,coin_260205.blend,사용중,X,리그 없음,,0,1,2026,Asset/BlenderFile/2026/2026_Snow Island Pass/컨텐츠/눈꽃재화/coin_260205.blend,2026-02-03,1021.4 KB
dubai,Dubai_Props_260210.blend,사용중,X,리그 없음,,0,1,2026,Asset/BlenderFile/2026/2026_Event Pass/02월 두쫀쿠/Dubai_Props_260210.blend,2026-02-06,1021.0 KB
easter_nest,Easter_Nest_01.blend,사용중,X,리그 없음,,0,1,2026,Asset/BlenderFile/2026/2026_Event Pass/04월 부활절/컨텐츠/달걀 둥지 프랍/Easter_Nest_01.blend,2026-02-26,1.2 MB
hedgehog,Hedgehog_AllAni_EX260210.blend,사용중,X,리그 없음,,0,11,2026,Asset/BlenderFile/2026/2026_Event Pass/02월 발렌타인 패스/컨텐츠/초콜릿 고슴도치 4가지/Hedgehog_AllAni_EX260210.blend,2026-01-09,13.7 MB
mdl_randombox_ice,mdl_randombox_ice.blend,사용중,X,리그 없음,,0,1,2026,Asset/BlenderFile/2026/2026_Snow Island Pass/컨텐츠/상자 얼음/mdl_randombox_ice.blend,2026-03-16,1.9 MB
snow_hammer,Snow_Hammer_260205.blend,사용중,X,리그 없음,,0,1,2026,Asset/BlenderFile/2026/2026_Snow Island Pass/컨텐츠/눈꽃망치/Snow_Hammer_260205.blend,2026-01-26,906.6 KB
snowbox,SnowBox_260205.blend,사용중,X,리그 없음,,0,1,2026,Asset/BlenderFile/2026/2026_Snow Island Pass/컨텐츠/눈꽃상자/SnowBox_260205.blend,2026-01-23,1.1 MB
ui_portrait_blossom,UI_Portrait_Blossom_Props.blend,사용중,X,리그 없음,,0,1,2026,Asset/BlenderFile/2026/2026_Spring Pass/컨텐츠/벚꽃 프랍/포트레이트/UI_Portrait_Blossom_Props.blend,2026-02-13,1.5 MB
ui_portrait_dubai,UI_Portrait_Dubai_Props.blend,사용중,X,리그 없음,,0,1,2026,Asset/BlenderFile/2026/2026_Event Pass/02월 두쫀쿠/포트레이트/UI_Portrait_Dubai_Props.blend,2026-02-06,1.3 MB
ui_portrait_valentine,UI_Portrait_Valentine_Props.blend,사용중,X,리그 없음,,0,1,2026,Asset/BlenderFile/2026/2026_Event Pass/02월 발렌타인 패스/컨텐츠/초콜릿 프랍/포트레이트/UI_Portrait_Valentine_Props.blend,2026-01-14,1.2 MB
valentine,Valentine_Props_AllAni_260204.blend,사용중,X,리그 없음,,0,1,2026,Asset/BlenderFile/2026/2026_Event Pass/02월 발렌타인 패스/컨텐츠/초콜릿 프랍/Valentine_Props_AllAni_260204.blend,2026-02-04,987.0 KB
winter_island_buoy,Winter_island_Buoy_260209.blend,사용중,X,리그 없음,,0,1,2026,Asset/BlenderFile/2026/2026_Snow Island Pass/컨텐츠/눈꽃섬부표/Winter_island_Buoy_260209.blend,2026-02-03,931.4 KB
curved_mesh,Curved_mesh.blend,사용중,X,리그 없음,,0,1,Effect,Asset/BlenderFile/Effect/Curved_mesh.blend,2021-11-01,678.6 KB
baby_panda,Baby_panda_AllAni_0613.blend,사용중,X,리그 없음,,0,10,Sup_01,Asset/BlenderFile/Sup_01/07_Baby_Panda/Baby_panda_AllAni_0613.blend,2023-06-14,4.2 MB
baby_panda_retargettest,Baby_panda_ReTargetTest.blend,사용중,X,리그 없음,,0,1,Sup_01,Asset/BlenderFile/Sup_01/07_Baby_Panda/Baby_panda_ReTargetTest.blend,2023-05-15,5.1 MB
monkey_climb,Monkey_climb DOWN_end02.blend,사용중,X,리그 없음,,0,6,Sup_01,Asset/BlenderFile/Sup_01/02_Monkey/Monkey_climb DOWN_end02.blend,2023-01-03,3.7 MB
monkey_fastwalk05,Monkey_fastwalk05.blend,사용중,X,리그 없음,,0,1,Sup_01,Asset/BlenderFile/Sup_01/02_Monkey/Monkey_fastwalk05.blend,2022-12-23,2.7 MB
monkey_ui,Monkey_UI_pose.blend,사용중,X,리그 없음,,0,1,Sup_01,Asset/BlenderFile/Sup_01/02_Monkey/Monkey_UI_pose.blend,2024-05-22,5.9 MB
panda,panda_AllAni_0613.blend,사용중,X,리그 없음,,0,17,Sup_01,Asset/BlenderFile/Sup_01/04_Panda/panda_AllAni_0613.blend,2023-06-14,4.1 MB
panda001,panda001_Modeling_Backup.blend,사용중,X,리그 없음,,0,2,Sup_01,Asset/BlenderFile/Sup_01/04_Panda/Backup/panda001_Modeling_Backup.blend,2022-12-28,7.0 MB
panda_ui,panda_UI_Pose.blend,사용중,X,리그 없음,,0,1,Sup_01,Asset/BlenderFile/Sup_01/04_Panda/panda_UI_Pose.blend,2023-03-30,4.2 MB
weasel_fastwalk05,Weasel_fastwalk05.blend,사용중,X,리그 없음,,0,1,Sup_01,Asset/BlenderFile/Sup_01/05_Weasel/Weasel_fastwalk05.blend,2023-02-22,2.7 MB
weasel_ui,Weasel_UI_Pose.blend,사용중,X,리그 없음,,0,1,Sup_01,Asset/BlenderFile/Sup_01/05_Weasel/Weasel_UI_Pose.blend,2023-05-03,6.8 MB
pelican,Pelican_AllAni_0705.blend,사용중,X,리그 없음,,0,7,bird,Asset/BlenderFile/bird/Pelican/Pelican_AllAni_0705.blend,2024-04-29,2.5 MB
angora_rabbit,angora_rabbit_animation_004.blend,사용중,X,리그 없음,,0,5,normal,Asset/BlenderFile/normal/angora_rabbit/blender/angora_rabbit_animation_004.blend,2021-08-23,1.9 MB
baby_duck,baby_duck_jump.blend,사용중,X,리그 없음,,0,3,normal,Asset/BlenderFile/normal/baby_duck/blender/baby_duck_jump.blend,2021-09-23,1.5 MB
hedgehog_smell01,Hedgehog_smell01.blend,사용중,X,리그 없음,,0,1,normal,Asset/BlenderFile/normal/Hedgehog/Hedgehog_smell01.blend,2022-10-11,3.5 MB
swan,swan_Pose.blend,사용중,X,리그 없음,,0,8,normal,Asset/BlenderFile/normal/swan/blender/Pose/swan_Pose.blend,2022-05-04,14.6 MB
swan_auto_save,swan_auto save.blend,사용중,X,리그 없음,,0,1,normal,Asset/BlenderFile/normal/swan/blender/swan_auto save.blend,2022-04-18,9.3 MB
swan_auto_save2,swan_auto save2.blend,사용중,X,리그 없음,,0,1,normal,Asset/BlenderFile/normal/swan/blender/swan_auto save2.blend,2022-04-18,14.6 MB
swan_heart03,swan_heart03.blend,사용중,X,리그 없음,,0,1,normal,Asset/BlenderFile/normal/swan/blender/swan_heart03.blend,2021-05-06,1.5 MB
swan_ui,swan_UI_Pose2.blend,사용중,X,리그 없음,,0,2,normal,Asset/BlenderFile/normal/swan/blender/swan_UI_Pose2.blend,2022-03-31,1.5 MB
babyturtle,babyturtle_AllAni01.blend,사용중,X,리그 없음,,0,7,sea,Asset/BlenderFile/sea/babyturtle/babyturtle_AllAni01.blend,2025-01-07,2.6 MB
babyturtle_display07,babyturtle_display07.blend,사용중,X,리그 없음,,0,1,sea,Asset/BlenderFile/sea/babyturtle/babyturtle_display07.blend,2022-09-07,5.0 MB
babyturtle_stuck,babyturtle_stuck_idle01.blend,사용중,X,리그 없음,,0,1,sea,Asset/BlenderFile/sea/babyturtle/babyturtle_stuck_idle01.blend,2022-09-06,1.9 MB
babyturtle_stuck_in03,babyturtle_stuck_in03.blend,사용중,X,리그 없음,,0,1,sea,Asset/BlenderFile/sea/babyturtle/babyturtle_stuck_in03.blend,2022-09-02,2.0 MB
clam,clam_ani_close02.blend,사용중,X,리그 없음,,0,5,sea,Asset/BlenderFile/sea/clam/blender/clam_ani_close02.blend,2021-03-18,1.6 MB
giant_oceanic_manta_ray,Giant_oceanic_manta_ray.blend,사용중,X,리그 없음,,0,2,sea,Asset/BlenderFile/sea/manta_ray/Giant_oceanic_manta_ray.blend,2023-05-30,1.9 MB
humpbackwhale,HumpbackWhale.blend,사용중,X,리그 없음,,0,1,sea,Asset/BlenderFile/sea/whale/HumpbackWhale.blend,2021-09-16,2.4 MB
axolotl,Axolotl_Animation_0219.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l",10,2,2024,Asset/BlenderFile/2024/2024_Cherry Blossom/Axolotl/Axolotl_Animation_0219.blend,2024-02-20,6.6 MB
cockatoo,cockatoo_animation_0213.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,2,2024,Asset/BlenderFile/2024/2024_Cherry Blossom/cockatoo/cockatoo_animation_0213.blend,2024-02-21,7.0 MB
frog_christmas,frog_christmas.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,3,2024,Asset/BlenderFile/2024/2024_Christmas/동물/산타 개구리/frog_christmas.blend,2024-12-03,6.3 MB
frog_christmas,frog_christmas_AllAni_ex1205.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,3,2024,Asset/BlenderFile/2024/2024_Christmas/동물/산타 개구리/frog_christmas_AllAni_ex1205.blend,2024-12-05,6.4 MB
guineapig,Guineapig_08.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,3,2024,Asset/BlenderFile/2024/2024_3rd anniv-halloween/3주년/3089_기니피그/Guineapig_08.blend,2024-09-11,8.2 MB
guineapig,Guineapig_01.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_hand_fk.l",11,3,2024,Asset/BlenderFile/2024/2024_3rd anniv-halloween/3주년/패키지/기니피그 패키지/3d/Guineapig_01.blend,2024-09-19,6.8 MB
penguin_baby,Penguin_Baby_AllAni_241121_ex.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,6,2024,Asset/BlenderFile/2024/2024_Winter/동물/3061_아기펭귄(추가 애니메이션)/Penguin_Baby_AllAni_241121_ex.blend,2024-11-21,8.1 MB
pileated_woodpecker,pileated woodpecker_01.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,3,2024,Asset/BlenderFile/2024/2024_autumn/3086_도가머리 딱따구리/BackUp/pileated woodpecker_01.blend,2024-08-12,13.3 MB
pileated_woodpecker,pileated woodpecker_02.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,3,2024,Asset/BlenderFile/2024/2024_autumn/3086_도가머리 딱따구리/BackUp/pileated woodpecker_02.blend,2024-08-13,13.6 MB
tortoise,Tortoise_ani_02.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l",11,2,2024,Asset/BlenderFile/2024/2024_Summer/animal/Sulcata tortoise/Tortoise_ani_02.blend,2024-05-22,9.1 MB
baby_wolf,Baby_Wolf_animation.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,10,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_Baby_Red_Wolf/아기 붉은 늑대/Baby_Wolf_animation.blend,2025-03-26,7.1 MB
ui_portrait_fox,UI_Portrait_fox Statue.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,3,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_침팬지 패스/장식 포트레이트/UI_Portrait_fox Statue.blend,2025-06-11,6.2 MB
boar,Boar_animation.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,7,Sup_01,Asset/BlenderFile/Sup_01/03_Boar/Boar_animation.blend,2023-03-23,74.6 MB
boar,Boar_animation2.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,7,Sup_01,Asset/BlenderFile/Sup_01/03_Boar/Boar_animation2.blend,2023-05-11,74.5 MB
boar,Boar_rig.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,7,Sup_01,Asset/BlenderFile/Sup_01/03_Boar/Boar_rig.blend,2023-02-28,97.3 MB
boar,Boar_rig2.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,7,Sup_01,Asset/BlenderFile/Sup_01/03_Boar/Boar_rig2.blend,2023-03-07,72.9 MB
crane,Crane_animation.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,7,Sup_01,Asset/BlenderFile/Sup_01/01_Red_Crown_Crane/Crane_animation.blend,2023-05-04,10.8 MB
frog,Frog.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,5,Sup_01,Asset/BlenderFile/Sup_01/Frog/BackUp/Frog.blend,2023-04-07,6.0 MB
frog,Frog_idle.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,5,Sup_01,Asset/BlenderFile/Sup_01/Frog/Frog_idle.blend,2023-04-11,3.5 MB
frog,frog_aniamtion.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,5,Sup_01,Asset/BlenderFile/Sup_01/Frog/frog_aniamtion.blend,2023-04-12,6.5 MB
frog,Frog.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,5,Sup_01,Asset/BlenderFile/Sup_01/Frog/rigging_test/Frog.blend,2023-04-07,6.0 MB
frog2,Frog2.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,2,Sup_01,Asset/BlenderFile/Sup_01/Frog/rigging_test/Frog2.blend,2023-04-07,6.4 MB
frog3,Frog3.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,2,Sup_01,Asset/BlenderFile/Sup_01/Frog/BackUp/Frog3.blend,2023-04-10,3.4 MB
frog4,Frog4.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,2,Sup_01,Asset/BlenderFile/Sup_01/Frog/rigging_test/Frog4.blend,2023-04-10,2.9 MB
penguin,Penguin_ex_1102.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,2,Sup_02,Asset/BlenderFile/Sup_02/Penguin/Penguin_ex_1102.blend,2023-11-02,6.9 MB
penguin_baby,Penguin_Baby(ex_1107).blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,6,Sup_02,Asset/BlenderFile/Sup_02/Penguin_baby/Penguin_Baby(ex_1107).blend,2023-11-08,6.8 MB
penguin_baby,Penguin_Baby(ex_1208).blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,6,Sup_02,Asset/BlenderFile/Sup_02/Penguin_baby/Penguin_Baby(ex_1208).blend,2023-12-08,7.5 MB
penguin_baby,Penguin_Baby_1120_02.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,6,Sup_02,Asset/BlenderFile/Sup_02/Penguin_baby/Penguin_Baby_1120_02.blend,2024-11-21,8.1 MB
penguin_baby,Penguin_Baby_AllAni_241121_ex.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,6,Sup_02,Asset/BlenderFile/Sup_02/Penguin_baby/Penguin_Baby_AllAni_241121_ex.blend,2024-11-21,8.1 MB
squirrel,Squirrel_Animation03.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,9,Sup_02,Asset/BlenderFile/Sup_02/Squirrel/Squirrel_Animation03.blend,2023-12-06,12.3 MB
bat,Bat_rig.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,3,bird,Asset/BlenderFile/bird/bat/Bat_rig.blend,2022-09-27,3.1 MB
crane,Crane_rig.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,7,bird,Asset/BlenderFile/bird/Crane/Crane_rig.blend,2022-12-12,5.9 MB
crane,Crane_rig2.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,7,bird,Asset/BlenderFile/bird/Crane/Crane_rig2.blend,2022-12-20,6.8 MB
crane,Crane_rig3.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",12,7,bird,Asset/BlenderFile/bird/Crane/Crane_rig3.blend,2022-12-21,7.6 MB
crane,Crane_rig4.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",12,7,bird,Asset/BlenderFile/bird/Crane/Crane_rig4.blend,2022-12-21,7.6 MB
crane,Crane_rig5.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,7,bird,Asset/BlenderFile/bird/Crane/Crane_rig5.blend,2022-12-22,9.9 MB
eagle,Eagle_AllAni_240311.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,5,bird,Asset/BlenderFile/bird/eagle/Eagle_AllAni_240311.blend,2024-03-15,15.7 MB
eagle,Eagle_AllAni_240730.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,5,bird,Asset/BlenderFile/bird/eagle/Eagle_AllAni_240730.blend,2024-07-30,15.6 MB
eagle,Eagle_rig.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,5,bird,Asset/BlenderFile/bird/eagle/Eagle_rig.blend,2021-11-15,3.6 MB
eagle,Eagle_rig2.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,5,bird,Asset/BlenderFile/bird/eagle/Eagle_rig2.blend,2021-11-15,3.6 MB
baby_bear,Baby_Bear_animation.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,4,normal,Asset/BlenderFile/normal/Baby_bear/Baby_Bear_animation.blend,2024-07-31,38.6 MB
baby_bear,Baby_Bear.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,4,normal,Asset/BlenderFile/normal/Baby_bear/BackUP/Baby_Bear.blend,2022-04-01,3.9 MB
baby_bear,Baby_Bear_animation.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,4,normal,Asset/BlenderFile/normal/Baby_bear/BackUP/Baby_Bear_animation.blend,2022-04-13,38.4 MB
baby_eagle,Baby_Eagle_rig.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",12,2,normal,Asset/BlenderFile/normal/Baby_bald_eagle/Baby_Eagle_rig.blend,2021-11-18,3.3 MB
baby_rabbit,Baby_Rabbit_animation.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,17,normal,Asset/BlenderFile/normal/baby_rabbit/blender/Baby_Rabbit_animation.blend,2024-01-25,9.0 MB
baby_rabbit,Baby_Rabbit_Pose.blend,이전 버전,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,17,normal,Asset/BlenderFile/normal/baby_rabbit/blender/BackUp/Baby_Rabbit_Pose.blend,2022-08-31,9.1 MB
