id,animation_fbx_path,animation_fbx_guid,model_fbx_paths,controller_paths,prefab_count,clip_count,clip_names,locomotion,scope,source_blend_hint,status,notes
Hedgehog,Assets/5_Models/02. Animals/17. Other_3000_3999/Animal_Hadgehog/Hedgehog_animation.fbx,8286bc1cde8aaf14eaebad8f17092cd4,Animal_3077.fbx;Animal_3139.fbx;Animal_3140.fbx;Animal_3141.fbx;Animal_3142.fbx,Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3027_Hedgehog.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3077_PineAppleHedgehog.controller,1,9,Armature|def_test;idle;run;shop;sleep;Armature|;walk;shop_HeadMove;smell,quadruped,in_scope,,not_started,
Capybara,Assets/5_Models/02. Animals/17. Other_3000_3999/Capybara_animation.fbx,66d21632f5ae2994fb2657f7d3fe843b,Animal_3042.fbx;Animal_3043.fbx;Animal_3044.fbx;Animal_3045.fbx;Animal_3051.fbx;Animal_3056.fbx;Animal_3057.fbx;Animal_3058.fbx;Animal_3059.fbx;Animal_3060.fbx;Animal_3061.fbx;Animal_3078.fbx;Animal_3079.fbx;Animal_3085.fbx;Animal_3086.fbx;Animal_3094.fbx;Animal_3095.fbx;Animal_3096.fbx;Animal_3097.fbx;Animal_3098.fbx;Animal_3099.fbx;Animal_3100.fbx;Animal_3102.fbx;Animal_3103.fbx;Animal_3104.fbx;Animal_3105.fbx;Animal_3106.fbx;Animal_3108.fbx;Animal_3109.fbx;Animal_3110.fbx;Animal_3113.fbx;Animal_3115.fbx;Animal_3116.fbx;Animal_3117.fbx;Animal_3121.fbx;Animal_3122.fbx;Animal_3123.fbx;Animal_3124.fbx;Animal_3125.fbx;Animal_3126.fbx;Animal_3129.fbx;Animal_3132.fbx;Animal_3133.fbx;Animal_3134.fbx;Animal_3135.fbx;Animal_3136.fbx;Animal_3138.fbx;Animal_3143.fbx;Animal_3144.fbx;Animal_3145.fbx;Animal_3147.fbx;Animal_3163.fbx;Animal_3164.fbx;Animal_3200.fbx;Animal_3201.fbx;Animal_3202.fbx;Animal_3204.fbx;Animal_3206.fbx;Animal_3207.fbx;Animal_3208.fbx;Squirrel_Animation.fbx;Squirrel_Valentine.fbx;Tiger_R&D02.fbx,Assets/6_Animations/Animals/Controllers/2026_Australia/AnimalController_3200_Wombat.controller;Assets/6_Animations/Animals/Controllers/2026_Australia/AnimalController_3208_Emu.controller;Assets/6_Animations/Animals/Controllers/PackageObject/CapybaraController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/DodoController.controller,1,8,idle;sleep;Armature|standup;swim;walk;standup;run;trot,quadruped,in_scope,,not_started,
Squirrel,Assets/5_Models/02. Animals/17. Other_3000_3999/Squirrel_Animation.fbx,74b300db278a77144be20dc99354fef6,Animal_3042.fbx;Animal_3043.fbx;Animal_3044.fbx;Animal_3045.fbx;Animal_3051.fbx;Animal_3056.fbx;Animal_3057.fbx;Animal_3058.fbx;Animal_3059.fbx;Animal_3060.fbx;Animal_3061.fbx;Animal_3078.fbx;Animal_3079.fbx;Animal_3085.fbx;Animal_3086.fbx;Animal_3094.fbx;Animal_3095.fbx;Animal_3096.fbx;Animal_3097.fbx;Animal_3098.fbx;Animal_3099.fbx;Animal_3100.fbx;Animal_3102.fbx;Animal_3103.fbx;Animal_3104.fbx;Animal_3105.fbx;Animal_3106.fbx;Animal_3108.fbx;Animal_3109.fbx;Animal_3110.fbx;Animal_3113.fbx;Animal_3115.fbx;Animal_3116.fbx;Animal_3117.fbx;Animal_3121.fbx;Animal_3122.fbx;Animal_3123.fbx;Animal_3124.fbx;Animal_3125.fbx;Animal_3126.fbx;Animal_3129.fbx;Animal_3132.fbx;Animal_3133.fbx;Animal_3134.fbx;Animal_3135.fbx;Animal_3136.fbx;Animal_3138.fbx;Animal_3143.fbx;Animal_3144.fbx;Animal_3145.fbx;Animal_3147.fbx;Animal_3163.fbx;Animal_3164.fbx;Animal_3200.fbx;Animal_3201.fbx;Animal_3202.fbx;Animal_3204.fbx;Animal_3206.fbx;Animal_3207.fbx;Animal_3208.fbx;Capybara_animation.fbx;Squirrel_Valentine.fbx;Tiger_R&D02.fbx,Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3013_RedSquirrel.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3064_Squirrel.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3085_SilverSquirrel.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3093_NineTailFox.controller;Assets/6_Animations/Animals/Controllers/Winter/SquirrelController.controller,1,4,idle;run;snow;lookaround,quadruped,in_scope,,not_started,
Cuckoo,Assets/5_Models/02. Animals/18. Bird_1000_1999/cuckoo/cuckoo_Animation.fbx,7e23a66c0a3ba5c4587e88e45594213e,,Assets/6_Animations/Animals/Controllers/Bird_Hatch/cuckoo_Animator.controller,0,4,idle;fly;land;Armature|fly.001,biped_bird,out_of_scope,,not_started,
EagleOwl,Assets/5_Models/02. Animals/18. Bird_1000_1999/eagle_owl/eagle_owl_animation.fbx,57de977f233fb7d4089b221de600deb1,Animal_3084.fbx,Assets/6_Animations/Animals/Controllers/Bird_Hatch/eagle_owl_animator.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3012_WhiteEagleOwl.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3026_BrownBat.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3095_BlueEyedShag.controller;Assets/6_Animations/Animals/Controllers/Winter/WhiteEagleOwl_Controller.controller,3,12,land (1);Armature|sleep;Armature|headtwist;Armature|idle;Armature|fly;idle;fly;headtwist.001;sleep;headtwist;landing;leap,biped_bird,out_of_scope,,not_started,
Puffin,Assets/5_Models/02. Animals/18. Bird_1000_1999/puffin/puffin_animation.fbx,f3ab2e338813153409216d08ba01ec94,,Assets/6_Animations/Animals/Controllers/Bird_Hatch/puffin_animator.controller,0,7,idle;land;fly;idle;land;sleep;LookAround,biped_bird,out_of_scope,,not_started,
SeaGull,Assets/5_Models/02. Animals/18. Bird_1000_1999/sea_gull/seagull_animation.fbx,6b5696e313b2cce47802262b42d20125,,Assets/6_Animations/Animals/Controllers/Bird_Hatch/seagull_animator.controller,0,10,flight;fly;idle;landing;sleep;Armature|flight;Armature|fly;Armature|idle;Armature|landing;Armature|sleep,biped_bird,out_of_scope,,not_started,
Sparrow,Assets/5_Models/02. Animals/18. Bird_1000_1999/sparrow/sparrow_animation.fbx,2596f059df1dfdf4ab3189e252a2962f,,Assets/6_Animations/Animals/Controllers/Bird_Hatch/sparrow_Animator.controller,0,5,fly;idle;landing;idle;peck,biped_bird,out_of_scope,,not_started,
Clam,Assets/5_Models/02. Animals/20. NoSavedAnimal_4000/RewardedAds_2_Clam/SourceFBX/Clam_animation_all01.fbx,87bdbe8485ef3d547b062bbc3d7282a6,Crab_animation_all01.fbx;Shellsand_animation_all01.fbx,,0,4,Clam_Armature|close_clam;Clam_Armature|idle1_clam;Clam_Armature|idle2_clam;Clam_Armature|open_clam,other,out_of_scope,,not_started,
Crab,Assets/5_Models/02. Animals/20. NoSavedAnimal_4000/RewardedAds_2_Clam/SourceFBX/Crab_animation_all01.fbx,e3892dd7a8012644aa729247b9640c86,Clam_animation_all01.fbx;Shellsand_animation_all01.fbx,,0,4,Crab_Armature|close_crab;Crab_Armature|idle1_crab;Crab_Armature|idle2_crab;Crab_Armature|open_crab,other,out_of_scope,,not_started,
Shellsand,Assets/5_Models/02. Animals/20. NoSavedAnimal_4000/RewardedAds_2_Clam/SourceFBX/Shellsand_animation_all01.fbx,47f7491f7313ac742b387acc1e4e93a0,Clam_animation_all01.fbx;Crab_animation_all01.fbx,,0,0,,other,out_of_scope,,not_started,
Albatross,Assets/5_Models/02. Animals/20. NoSavedAnimal_4000/RewardedAds_3_Albatross/albatross_animation_all02.fbx,5ff81644b91700143a0cb58b57cdfea9,albatross_idle01.fbx;albatross_test.fbx,,1,10,Flight;Fly;Armature|idle;Armature|land;Landing;idle;idle_land_0;play;idle_land_1;jump,biped_bird,out_of_scope,,not_started,
